id,question_url,exam_year
34,https://myschool.ng/classroom/mathematics/22407?exam_type=waec&exam_year=1989&type=obj&page=7,WAEC 1989
35,https://myschool.ng/classroom/mathematics/22408?exam_type=waec&exam_year=1989&type=obj&page=7,WAEC 1989
26,https://myschool.ng/classroom/mathematics/22399?exam_type=waec&exam_year=1989&type=obj&page=6,WAEC 1989
27,https://myschool.ng/classroom/mathematics/22400?exam_type=waec&exam_year=1989&type=obj&page=6,WAEC 1989
28,https://myschool.ng/classroom/mathematics/22401?exam_type=waec&exam_year=1989&type=obj&page=6,WAEC 1989
29,https://myschool.ng/classroom/mathematics/22402?exam_type=waec&exam_year=1989&type=obj&page=6,WAEC 1989
30,https://myschool.ng/classroom/mathematics/22403?exam_type=waec&exam_year=1989&type=obj&page=6,WAEC 1989
11,https://myschool.ng/classroom/mathematics/22351?exam_type=waec&exam_year=1989&type=obj&page=3,WAEC 1989
12,https://myschool.ng/classroom/mathematics/22352?exam_type=waec&exam_year=1989&type=obj&page=3,WAEC 1989
13,https://myschool.ng/classroom/mathematics/22353?exam_type=waec&exam_year=1989&type=obj&page=3,WAEC 1989
14,https://myschool.ng/classroom/mathematics/22354?exam_type=waec&exam_year=1989&type=obj&page=3,WAEC 1989
15,https://myschool.ng/classroom/mathematics/22355?exam_type=waec&exam_year=1989&type=obj&page=3,WAEC 1989
21,https://myschool.ng/classroom/mathematics/22361?exam_type=waec&exam_year=1989&type=obj&page=5,WAEC 1989
22,https://myschool.ng/classroom/mathematics/22362?exam_type=waec&exam_year=1989&type=obj&page=5,WAEC 1989
23,https://myschool.ng/classroom/mathematics/22363?exam_type=waec&exam_year=1989&type=obj&page=5,WAEC 1989
24,https://myschool.ng/classroom/mathematics/22397?exam_type=waec&exam_year=1989&type=obj&page=5,WAEC 1989
25,https://myschool.ng/classroom/mathematics/22398?exam_type=waec&exam_year=1989&type=obj&page=5,WAEC 1989
1,https://myschool.ng/classroom/mathematics/22336?exam_type=waec&exam_year=1989&type=obj&page=1,WAEC 1989
2,https://myschool.ng/classroom/mathematics/22342?exam_type=waec&exam_year=1989&type=obj&page=1,WAEC 1989
3,https://myschool.ng/classroom/mathematics/22343?exam_type=waec&exam_year=1989&type=obj&page=1,WAEC 1989
4,https://myschool.ng/classroom/mathematics/22344?exam_type=waec&exam_year=1989&type=obj&page=1,WAEC 1989
5,https://myschool.ng/classroom/mathematics/22345?exam_type=waec&exam_year=1989&type=obj&page=1,WAEC 1989
46,https://myschool.ng/classroom/mathematics/22419?exam_type=waec&exam_year=1989&type=obj&page=10,WAEC 1989
47,https://myschool.ng/classroom/mathematics/22420?exam_type=waec&exam_year=1989&type=obj&page=10,WAEC 1989
48,https://myschool.ng/classroom/mathematics/22421?exam_type=waec&exam_year=1989&type=obj&page=10,WAEC 1989
36,https://myschool.ng/classroom/mathematics/22409?exam_type=waec&exam_year=1989&type=obj&page=8,WAEC 1989
37,https://myschool.ng/classroom/mathematics/22410?exam_type=waec&exam_year=1989&type=obj&page=8,WAEC 1989
38,https://myschool.ng/classroom/mathematics/22411?exam_type=waec&exam_year=1989&type=obj&page=8,WAEC 1989
39,https://myschool.ng/classroom/mathematics/22412?exam_type=waec&exam_year=1989&type=obj&page=8,WAEC 1989
40,https://myschool.ng/classroom/mathematics/22413?exam_type=waec&exam_year=1989&type=obj&page=8,WAEC 1989
41,https://myschool.ng/classroom/mathematics/22414?exam_type=waec&exam_year=1989&type=obj&page=9,WAEC 1989
42,https://myschool.ng/classroom/mathematics/22415?exam_type=waec&exam_year=1989&type=obj&page=9,WAEC 1989
43,https://myschool.ng/classroom/mathematics/22416?exam_type=waec&exam_year=1989&type=obj&page=9,WAEC 1989
44,https://myschool.ng/classroom/mathematics/22417?exam_type=waec&exam_year=1989&type=obj&page=9,WAEC 1989
45,https://myschool.ng/classroom/mathematics/22418?exam_type=waec&exam_year=1989&type=obj&page=9,WAEC 1989
6,https://myschool.ng/classroom/mathematics/22346?exam_type=waec&exam_year=1989&type=obj&page=2,WAEC 1989
7,https://myschool.ng/classroom/mathematics/22347?exam_type=waec&exam_year=1989&type=obj&page=2,WAEC 1989
8,https://myschool.ng/classroom/mathematics/22348?exam_type=waec&exam_year=1989&type=obj&page=2,WAEC 1989
9,https://myschool.ng/classroom/mathematics/22349?exam_type=waec&exam_year=1989&type=obj&page=2,WAEC 1989
10,https://myschool.ng/classroom/mathematics/22350?exam_type=waec&exam_year=1989&type=obj&page=2,WAEC 1989
46,https://myschool.ng/classroom/mathematics/22702?exam_type=waec&exam_year=1990&type=obj&page=10,WAEC 1990
47,https://myschool.ng/classroom/mathematics/56104?exam_type=waec&exam_year=1990&type=obj&page=10,WAEC 1990
41,https://myschool.ng/classroom/mathematics/22696?exam_type=waec&exam_year=1990&type=obj&page=9,WAEC 1990
42,https://myschool.ng/classroom/mathematics/22698?exam_type=waec&exam_year=1990&type=obj&page=9,WAEC 1990
43,https://myschool.ng/classroom/mathematics/22699?exam_type=waec&exam_year=1990&type=obj&page=9,WAEC 1990
44,https://myschool.ng/classroom/mathematics/22700?exam_type=waec&exam_year=1990&type=obj&page=9,WAEC 1990
45,https://myschool.ng/classroom/mathematics/22701?exam_type=waec&exam_year=1990&type=obj&page=9,WAEC 1990
36,https://myschool.ng/classroom/mathematics/22687?exam_type=waec&exam_year=1990&type=obj&page=8,WAEC 1990
37,https://myschool.ng/classroom/mathematics/22690?exam_type=waec&exam_year=1990&type=obj&page=8,WAEC 1990
38,https://myschool.ng/classroom/mathematics/22691?exam_type=waec&exam_year=1990&type=obj&page=8,WAEC 1990
39,https://myschool.ng/classroom/mathematics/22692?exam_type=waec&exam_year=1990&type=obj&page=8,WAEC 1990
40,https://myschool.ng/classroom/mathematics/22695?exam_type=waec&exam_year=1990&type=obj&page=8,WAEC 1990
11,https://myschool.ng/classroom/mathematics/22642?exam_type=waec&exam_year=1990&type=obj&page=3,WAEC 1990
12,https://myschool.ng/classroom/mathematics/22643?exam_type=waec&exam_year=1990&type=obj&page=3,WAEC 1990
13,https://myschool.ng/classroom/mathematics/22644?exam_type=waec&exam_year=1990&type=obj&page=3,WAEC 1990
14,https://myschool.ng/classroom/mathematics/22645?exam_type=waec&exam_year=1990&type=obj&page=3,WAEC 1990
15,https://myschool.ng/classroom/mathematics/22646?exam_type=waec&exam_year=1990&type=obj&page=3,WAEC 1990
16,https://myschool.ng/classroom/mathematics/22647?exam_type=waec&exam_year=1990&type=obj&page=4,WAEC 1990
17,https://myschool.ng/classroom/mathematics/22649?exam_type=waec&exam_year=1990&type=obj&page=4,WAEC 1990
18,https://myschool.ng/classroom/mathematics/22650?exam_type=waec&exam_year=1990&type=obj&page=4,WAEC 1990
19,https://myschool.ng/classroom/mathematics/22652?exam_type=waec&exam_year=1990&type=obj&page=4,WAEC 1990
20,https://myschool.ng/classroom/mathematics/22655?exam_type=waec&exam_year=1990&type=obj&page=4,WAEC 1990
1,https://myschool.ng/classroom/mathematics/22599?exam_type=waec&exam_year=1990&type=obj&page=1,WAEC 1990
2,https://myschool.ng/classroom/mathematics/22600?exam_type=waec&exam_year=1990&type=obj&page=1,WAEC 1990
3,https://myschool.ng/classroom/mathematics/22601?exam_type=waec&exam_year=1990&type=obj&page=1,WAEC 1990
4,https://myschool.ng/classroom/mathematics/22602?exam_type=waec&exam_year=1990&type=obj&page=1,WAEC 1990
